provincia,departamento,localidad,tipo,subtipo,nombre,direccion,piso,cp,telefono,email,web
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Del Instituto de Altos Estudios Sociales - Idaes,B. Quinquela Martin 1784,,1017,(011) 4371-7064,idaes@unsam.edu.ar,lábrys - bibliotecas unsam
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca y Area de Asesoría Informática.,Arcamendia 743,Piso 14,,,"estudio@beccarv.com.ar; biblioteca@beccarv.com.ar, mvila@beccarv.com.ar",htp//:www.ebv.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Av. Velez Sarsfield 563,Piso 3,C1059ABF,"(011) 4816-5406, 4745",sca@nuvanet.com,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Uspallata 3400,Piso 4,1425,,dptobibyjur@jusbaires.gov.ar; fghirardi@jusbaires.gov.ar,cmcaba.jusbaires.gov.ar/cmcaba/centro_de_documentacion
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Medina 138,Piso 1,C1122AAJ,"4508-3880, 3881",sectaquini@fmed.uba.ar,www.fmed.uba.ar/taquini/academica.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro Naval,Pje. Cranwell 819,4º,1005,4311-1011,biblioteca@centronaval.org.ar,www.centronaval.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Montes de Oca Av. 745,,C1098,4300-5414/8502/9256/9294,,www.ctera.org.ar/a_biblioteca.shtml
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Montes de Oca Av. 745,,,4301-9690,judithlina@hotmail.com,ens5.buenosaires.edu.ar/index.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca C.F.Teodoro Caillet-Bois,Suarez 408,,1155,4300-8970,estudioshistoricosnavales@yahoo.com.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,"Luca, Esteban De 2151",Piso 5,C1056ABH,4954-0400/0700,biblioteca@sanutricion.org.ar ; info@sanutricion.org.ar secretaria@sanutricion.org.ar,www.sanutricion.org.ar/biblioteca.php
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Caseros 2161,Piso 4 A,C1039AAD,"(011) 4953-7230, 7239 Int. 328^D(011) 4954-5614",pages@conicet.gov.arpepsi@conicet.gov.ar,www.pepsi.secyt.gov.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Laboratorios Alcon Carlos S. Damel,Perdriel 74,,1038,(011) 4326-4395,biblioteca@alconlabs.com,www.oftalmologos.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Perdriel 74,Piso 9,,4124-4700 Int. 4736 ,biblioteca@lafundacion.edu.ar,www.lafundacion.edu.ar/documents/biblioteca.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Martín Vázquez Vigo,Caseros Av. 2061,,,(54.011) 4805-1723 / 8075,biblioteca@medicos-municipales.org.ar smilcec@yahoo.com.ar,www.medmun.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca de La Escuela de Guerra Naval,Pje. de Las Artes 1210,,,"4317-2000 Int. 4300,4326",esgnbib@ara.mil.ar,www.esgn.edu.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,"Biblioteca Central R.P. Guillermo Furlong, S.J.",Deán Funes 1821,,C1040AA,4371-0422 Fax 4373-8305,uds-bibl@salvador.edu.ar,www.salvador.edu.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Central Del Círculo de Oficiales de Mar Profesor Alfredo Vázquez,15 de Noviembre de 1889 1932,4º,1044,4372-3778/5750/4374 Int. 228,biblio-sc@circuloofmar.org.ar,www.circuloofmar.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca y Centro Multimedia,Camacuá 282,,C1427CWO,(011) 4524 8422,biblio@fvet.uba.ar,www.fvet.uba.ar/biblioteca/bcm.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Aaot,Combate de Los Pozos 1881,Piso 1,,4801-2320 Int. 106 /,biblioteca@aaot.org.ar,www.aaot.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Dr Carlos Cardini,Combate de Los Pozos 1881,,C1405BWE,"(011) 5238-7500, Int 2021",biblioteca@leloir.org.ar,www.leloir.org.ar/es/acerca_de_la_biblioteca.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Cnl Manuel José Olascoaga,Av. Almirante Brown 401,,1426,4576-5576/79 Int.113,biblioteca@ign.gob.ar,www.ign.gob.ar/biblio/
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Constitución 4234,,,4826-5772 / 4981-1121,parresiastes@yahoo.com.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Bibliotecas Raúl Prebisch y Tornquist,Nazca Av. 274,,1003,4348-3500 Int. 2802 y 2803 Fax: 4348-3771,biblio@bcra.gov.ar,www.bcra.gov.ar/institucional/in050100.asp
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Puan 480,,1426,11 4576.5689/90,bibliotecaesg@argentina.com,www.escuelasuperiordeguerra.iese.edu.ar/agenda.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Departamento de Documentacion E Informacion Bibliografica,Puán 480,,C1098AAJ,(011) 4339-0556,idinfo@correo.inta.gov.ar,www.inta.gov.ar/info/biblio/bases/ccppaa.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Hilario Ascasubi,Carlos Calvo 4319,,C1407ETR,4566-5171,biblioteca_ascasubi@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Av. Entre Ríos 1349,,C1425EFD,011 4963-5931 Int. 140 Fax 4963-5930,biblioteca@cedie.org.ar cedie@cedie.org.ar,www.fei.org.ar/fei/pag-05-06.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Av. Entre Ríos 1349,Piso 2,C1007ABR,4819-7488,vbn@mrecic.gov.ar,www.cei.gov.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Del Alma Mater Studiorum,Av. Entre Ríos 1349,,C1021ABF,(011)-4878-2900 Int 118,biblioteca@unibo.edu.ar,www.ba.unibo.it/buenosaires/biblioteca/informacion/default.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Documentación y Atención Al Usuario,Entre Ríos Av. 1349,,1148,4307-3547,cdocumentacion_estadistica@buenosaires.gov.ar,www.buenosaires.gov.ar/areas/hacienda/sis_estadistico/biblioteca/index.php?menu_id=17552
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Central,Garay 125,,C1181ACH,(011) 4959-0200 Int. 8426,biblio@hospitalitiano.org.ar,www.hospitalitaliano.org.ar/docencia/biblioteca/
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,"Garay, Juan de Av. 125",,,4703-3819 / 4702-9667 4702-2028,isef1@romerobrest.edu.ar; nhpisarello@hotmail.com,www.romerobrest.edu.ar/
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Baldomero F. Moreno,Gral. Cesar Díaz 4219,,C1427EKP,4855-7508,biblioteca_moreno@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Secretaría Académica,La Rioja 1042,,1016,"4811-0071/2, 4811-0081/3",cari@cari1.org.ar,www.cari1.org.ar/publicaciones.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Dr. Laureano Rivas Miguez,San Juan Av. 1340,,C1425EFD,(011) 4963-7146 Int. 369 Fax (54.011) 4961-4609,bib-guti@fibertel.com.ar,www.guti.gov.ar/biblio/inicio.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Isen-Mrecic,Bolívar 1235,,1007,4819-8144/5 Fax: 4819-8162,atr@mrecic.gov.ar,www.isen.gov.ar/zbiblio1.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,José Hernández,Rivadavia 5546/50,,C1408EHA,4641-3673,biblioteca_hernandez@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Servicio de Información Pública y Biblioteca,La Rioja 951,Piso 3,1054,4393-7076 Fax: 4393-7062,borrajo@oit.org.ar,www.oit.org.ar/pagina.php?seccion=120&pagina=293
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Documentación E Información,Piedras 1065,Piso 6,1114,4508-3815 Fax: 4508-3822,cdi@mail.fsoc.uba.ar,www.iigg.fsoc.uba.ar/cdi.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Av. Independencia 3065,Piso 4,1125,,biblioteca@pfortner.com,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Independencia 3065,,1086,(011) 4338-3000 Int. 4071,marcolombo@legislatura.gov.ar,www.cedom.gov.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Documentación Ing. Aldo Mennella,Independencia Av. 3065,,1437,(011) 4912-0017 / 21 • (011) 4912-6912 / 6,biblioteca@ceamse.gov.ar; aalvarez@ceamse.gov.ar; bibliotecaceamse@gmail.com,www.ceamse.gov.ar/abre-home.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Arq. Graciela Lerch,Calvo Carlos Av. 1370,Piso 11 Of 300,C1085ABQ,4383-9084 / 4383-1481,info@aadaih.com.ar,www.aadaih.com.ar/biblioteca
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Salta 980/2,,C1405BUB -,4901-9311 / 5488 Int. 101 Fax: (+54-11) 4903-7064,biblioteca@cao.org.ar ,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Documentacion E Informacion,Av. Paseo Colón 982,,1053,4323-8700 Int. 6399,biblioteca@rentasgcba.gov.ar,www.agip.gov.ar/web/index.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Paseo Colón 982,,C1019ABS,(011) 4811-3220 Int. 27 Fax (54.011) 4815-5804,biblioteca@ortodoncia.org.ar,www.ortodoncia.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Arq. Alejandro Christophersen,Estados Unidos 943,Piso 2,C1019ABT,4812 5856/3644/3986 - Fax: 4813 6629,biblio@socearq.org,www.socearq.org
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Dr. Juan F. Aranguren 1323,,C1414CUI,(011) 4858-9000 Int. 397,dmedica@gador.com.ar,www.gador.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,"Aranguren, Juan F. Dr. 1323",Piso 2 Of. 209,,,biblioteca@afip2.gov.ar,htp//www.afip.gov.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Documentación En Salud. Cedos,Rivadavia Av. 4950,,C1405DCD,(011) 4958-3922,cedo_salud@buenosaires.gov.ar,www.buenosaires.gov.ar/areas/salud/cedos/index.php
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Central,Av. Paseo Colón 850,Piso 1,C1425CKB,"(011) 4809-5633, 5600",biblio@derecho.uba.ar,www.derecho.uba.ar/biblioteca/
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Paseo Colón 850,P.B.,1405,(011) 4854-0032,biblioteca@institutotezza.org.ar;,www.institutotezza.org.ar/bib_institucional.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Lima 717,,C1026AAC,11 5238-9300,consulta@flacso.org.ar,www.flacso.org.ar/institucional.php
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Ricardo Gietz,Lima 717,Piso 1,C1083ACA,"(011) 4951-3490, 6975 Int. 14",biblioteca@caicyt.gov.ar,www.caicyt.gov.ar/biblioteca-ricardo-alberto-gietz
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Lima 717,,1063,4344-4978 / 4344-4979,lpelaya@inpi.gov.ar; infobiblio@inpi.gov.ar,www.inpi.gov.ar/docs/biblioteca.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Lima 717,,C1073AAO,011 4021 7811,biblioteca@uade.edu.ar; rlo@uade.edu.ar,www.biblioteca.uade.edu.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Piedras 730,,C1073AAO,11 4000-7600,biblioteca@uade.edu.ar,https://www.uade.edu.ar/biblioteca/login.asp
