provincia,departamento,localidad,tipo,subtipo,nombre,direccion,source_geo,lat,lon,piso,cp,telefono,email,web
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Ansa Agenzia Noticiosa Stampa Associatta,San Martín 320,cultura,-34.604237,-58.373814,,1004,4394-7568,ansabairesred@infovia.com.ar,www.ansa.it
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Prensa Latina,Sarmiento 2172,cultura,-34.606033,-58.397579,,1044,4953-5083,prela@teletel.com.ar,www.prensa_latina.org
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Productora de Servicios Periodísticos,Solís 637,cultura,-34.616085,-58.390408,,1078,4384-5013,proseptm@yahoo.com.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Infosic,Humberto 1 2286,cultura,-34.624371,-58.451099,,1229,4943-7100,agencia@infosic.com.ar,www.infosic.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Nova,Paraguay 946,cultura,-34.597794,-58.380516,,C1057AAN,4372-3212,noticias@nova-net.com.ar,www.agencianova.com
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Betha,Av. Belgrano 510,cultura,-34.612579,-58.373451,,1092,4334-7675 / 6,info@betha.com.ar,www.betha.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Industrias Culturales,Agencia de noticias,Télam - Agencia Nacional de Noticias,Bolívar 531,cultura,-34.614094,-58.37326,,1066,4339-0300,telam@sinectis.com.ar,www.telam.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Informacion,Viamonte 1549,cultura,-34.600666,-58.388836,,C1173AAA,(011) 4865-1707 Int 114,cicedes@cedes.org,www.cedes.org
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Juan D. Perón 2158,osm,-34.60678325,-58.3814391989,,C1199ACK,(011) 4961-8777,peppi.liwinska@hospitalitaliano.org.ar,www.hospitalitaliano.org.ar/docencia/residentes/index_dto.php?contenido=verprograma.php&id_programa=65
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Información Técnica,Crisólogo Larralde 105,osm,-34.5590501,-58.4871361,Piso 4,1067,4347-9365/9371-9372 Fax: 4347-9367,afreschi@cnc.gov.ar cit@cnc.gov.ar,www.cnc.gov.ar/cit/index.asp
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Cornelio Saavedra,Pje. Yrupe 6714,cultura,-34.667862,-58.496506,,C1431AQD,4571-2538,biblioteca_saavedra@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Saladillo 2468,cultura,-34.665771,-58.510818,,C1425FCD,"(011) 4806-7412, 7415, 7418; 4802-1901^D(011) 4802-2174, 2676",,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Carlos Guido y Spano,Av. Dellepiane Norte 4801,cultura,-34.665207,-58.474163,,C1425BLH,4773-5862,biblioteca_spano@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,"Biblioteca, Hemeroteca y Archivo",Av. Hipólito Yrigoyen 250,cultura,-34.660297,-58.374298,,C1406BEC,(011) 4631-8893,nformes@cedinci.org,www.cedinci.org/servicios.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Enrique Banchs,Ana M. Janer,cultura,-34.658203,-58.447933,,C1152ABP,4943-1078,biblioteca_banchs@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Ventura de La Vega 3697,cultura,-34.652977,-58.4118,,C1429AVO,011 4703-4644,cinas@fibertel.com.ar,www.drcormillot.com/cinas/index.php
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca de La Asesoría Jurídica de La Armada,Montes de Oca 2124,cultura,-34.651459,-58.37149,,,4317-2000 Int. 2236,ajar@ara.mil.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Del Centro Argentino de Datos Oceanográficos,Montes de Oca 2124,cultura,-34.651459,-58.37149,,1270,4301-0061/67 Int 4014,ceado@hidro.gov.ar,www.ceado.gob.ar/
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Prof. Emérito Dr. Alfredo L. Palacios,"Montes de Oca, Manuel 2124",cultura,-34.651459,-58.37149,Piso 1,C1120AAQ,"4374-4448, 2722, 3749 Int. 6437 Hemeroteca 4373-0145","referen@econ.uba.ar; ncanuso@econ.uba.ar; sanllore@econ.uba.ar, aondarra@econ.uba.ar",www.econ.uba.ar/www/servicios/biblioteca/ingresar.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Av. Amancio Alcorta 3000,cultura,-34.647541,-58.403103,,C1090AAA,"(011) 4374-8823, 8824; 4375-3215^Dhemeroteca:(011) 4373-0459. Diarios: (011) 4373-0528",congreso@bcnbib.gov.ar,www.bcnbib.gov.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Dr. Juan Carlos Fauvety,"Alcorta, Amancio Av. 3000",cultura,-34.647541,-58.403103,,C1425ASS,4808-8200 Int. 8483,mduguid@cemic.edu.ar,www.cemic.edu.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Benito Lynch,Boquerón 6753,cultura,-34.646397,-58.520908,,C1440BND,4687-1977,biblioteca_lynch@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Del Instituto de Altos Estudios Sociales - Idaes,B. Quinquela Martin 1784,cultura,-34.643955,-58.374966,,1017,(011) 4371-7064,idaes@unsam.edu.ar,lábrys - bibliotecas unsam
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca y Area de Asesoría Informática.,Arcamendia 743,cultura,-34.641277,-58.379932,Piso 14,,,"estudio@beccarv.com.ar; biblioteca@beccarv.com.ar, mvila@beccarv.com.ar",htp//:www.ebv.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Av. Velez Sarsfield 563,cultura,-34.64119,-58.389816,Piso 3,C1059ABF,"(011) 4816-5406, 4745",sca@nuvanet.com,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Uspallata 3400,cultura,-34.639465,-58.411705,Piso 4,1425,,dptobibyjur@jusbaires.gov.ar; fghirardi@jusbaires.gov.ar,cmcaba.jusbaires.gov.ar/cmcaba/centro_de_documentacion
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Medina 138,cultura,-34.638039,-58.49192,Piso 1,C1122AAJ,"4508-3880, 3881",sectaquini@fmed.uba.ar,www.fmed.uba.ar/taquini/academica.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro Naval,Pje. Cranwell 819,cultura,-34.637669,-58.456554,4º,1005,4311-1011,biblioteca@centronaval.org.ar,www.centronaval.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Montes de Oca Av. 745,cultura,-34.636677,-58.375,,C1098,4300-5414/8502/9256/9294,,www.ctera.org.ar/a_biblioteca.shtml
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Montes de Oca Av. 745,cultura,-34.636677,-58.375,,,4301-9690,judithlina@hotmail.com,ens5.buenosaires.edu.ar/index.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca C.F.Teodoro Caillet-Bois,Suarez 408,cultura,-34.635426,-58.358986,,1155,4300-8970,estudioshistoricosnavales@yahoo.com.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,"Luca, Esteban De 2151",cultura,-34.63483,-58.402534,Piso 5,C1056ABH,4954-0400/0700,biblioteca@sanutricion.org.ar ; info@sanutricion.org.ar secretaria@sanutricion.org.ar,www.sanutricion.org.ar/biblioteca.php
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Caseros 2161,cultura,-34.634724,-58.393105,Piso 4 A,C1039AAD,"(011) 4953-7230, 7239 Int. 328^D(011) 4954-5614",pages@conicet.gov.arpepsi@conicet.gov.ar,www.pepsi.secyt.gov.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Laboratorios Alcon Carlos S. Damel,Perdriel 74,cultura,-34.634659,-58.388107,,1038,(011) 4326-4395,biblioteca@alconlabs.com,www.oftalmologos.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Perdriel 74,cultura,-34.634659,-58.388107,Piso 9,,4124-4700 Int. 4736 ,biblioteca@lafundacion.edu.ar,www.lafundacion.edu.ar/documents/biblioteca.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Martín Vázquez Vigo,Caseros Av. 2061,cultura,-34.63435,-58.391373,,,(54.011) 4805-1723 / 8075,biblioteca@medicos-municipales.org.ar smilcec@yahoo.com.ar,www.medmun.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca de La Escuela de Guerra Naval,Pje. de Las Artes 1210,cultura,-34.633995,-58.438412,,,"4317-2000 Int. 4300,4326",esgnbib@ara.mil.ar,www.esgn.edu.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,"Biblioteca Central R.P. Guillermo Furlong, S.J.",Deán Funes 1821,cultura,-34.631973,-58.404755,,C1040AA,4371-0422 Fax 4373-8305,uds-bibl@salvador.edu.ar,www.salvador.edu.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Central Del Círculo de Oficiales de Mar Profesor Alfredo Vázquez,15 de Noviembre de 1889 1932,cultura,-34.631828,-58.391727,4º,1044,4372-3778/5750/4374 Int. 228,biblio-sc@circuloofmar.org.ar,www.circuloofmar.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca y Centro Multimedia,Camacuá 282,cultura,-34.630901,-58.457169,,C1427CWO,(011) 4524 8422,biblio@fvet.uba.ar,www.fvet.uba.ar/biblioteca/bcm.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Aaot,Combate de Los Pozos 1881,cultura,-34.630447,-58.39156,Piso 1,,4801-2320 Int. 106 /,biblioteca@aaot.org.ar,www.aaot.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Dr Carlos Cardini,Combate de Los Pozos 1881,cultura,-34.630447,-58.39156,,C1405BWE,"(011) 5238-7500, Int 2021",biblioteca@leloir.org.ar,www.leloir.org.ar/es/acerca_de_la_biblioteca.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Cnl Manuel José Olascoaga,Av. Almirante Brown 401,cultura,-34.629452,-58.364815,,1426,4576-5576/79 Int.113,biblioteca@ign.gob.ar,www.ign.gob.ar/biblio/
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Constitución 4234,cultura,-34.629116,-58.424068,,,4826-5772 / 4981-1121,parresiastes@yahoo.com.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Bibliotecas Raúl Prebisch y Tornquist,Nazca Av. 274,cultura,-34.628601,-58.470589,,1003,4348-3500 Int. 2802 y 2803 Fax: 4348-3771,biblio@bcra.gov.ar,www.bcra.gov.ar/institucional/in050100.asp
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Puan 480,cultura,-34.628376,-58.44664,,1426,11 4576.5689/90,bibliotecaesg@argentina.com,www.escuelasuperiordeguerra.iese.edu.ar/agenda.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Departamento de Documentacion E Informacion Bibliografica,Puán 480,cultura,-34.628376,-58.44664,,C1098AAJ,(011) 4339-0556,idinfo@correo.inta.gov.ar,www.inta.gov.ar/info/biblio/bases/ccppaa.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Hilario Ascasubi,Carlos Calvo 4319,cultura,-34.625072,-58.426212,,C1407ETR,4566-5171,biblioteca_ascasubi@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Av. Entre Ríos 1349,cultura,-34.62463,-58.391411,,C1425EFD,011 4963-5931 Int. 140 Fax 4963-5930,biblioteca@cedie.org.ar cedie@cedie.org.ar,www.fei.org.ar/fei/pag-05-06.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Av. Entre Ríos 1349,cultura,-34.62463,-58.391411,Piso 2,C1007ABR,4819-7488,vbn@mrecic.gov.ar,www.cei.gov.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Del Alma Mater Studiorum,Av. Entre Ríos 1349,cultura,-34.62463,-58.391411,,C1021ABF,(011)-4878-2900 Int 118,biblioteca@unibo.edu.ar,www.ba.unibo.it/buenosaires/biblioteca/informacion/default.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Documentación y Atención Al Usuario,Entre Ríos Av. 1349,cultura,-34.62463,-58.391411,,1148,4307-3547,cdocumentacion_estadistica@buenosaires.gov.ar,www.buenosaires.gov.ar/areas/hacienda/sis_estadistico/biblioteca/index.php?menu_id=17552
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Central,Garay 125,cultura,-34.624062,-58.366989,,C1181ACH,(011) 4959-0200 Int. 8426,biblio@hospitalitiano.org.ar,www.hospitalitaliano.org.ar/docencia/biblioteca/
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,"Garay, Juan de Av. 125",cultura,-34.624062,-58.366989,,,4703-3819 / 4702-9667 4702-2028,isef1@romerobrest.edu.ar; nhpisarello@hotmail.com,www.romerobrest.edu.ar/
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Baldomero F. Moreno,Gral. Cesar Díaz 4219,cultura,-34.623409,-58.492275,,C1427EKP,4855-7508,biblioteca_moreno@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Secretaría Académica,La Rioja 1042,cultura,-34.622517,-58.407276,,1016,"4811-0071/2, 4811-0081/3",cari@cari1.org.ar,www.cari1.org.ar/publicaciones.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Dr. Laureano Rivas Miguez,San Juan Av. 1340,cultura,-34.62236,-58.384956,,C1425EFD,(011) 4963-7146 Int. 369 Fax (54.011) 4961-4609,bib-guti@fibertel.com.ar,www.guti.gov.ar/biblio/inicio.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Isen-Mrecic,Bolívar 1235,cultura,-34.622314,-58.372791,,1007,4819-8144/5 Fax: 4819-8162,atr@mrecic.gov.ar,www.isen.gov.ar/zbiblio1.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,José Hernández,Rivadavia 5546/50,cultura,-34.621559,-58.443527,,C1408EHA,4641-3673,biblioteca_hernandez@buenosaires.gov.ar,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Servicio de Información Pública y Biblioteca,La Rioja 951,cultura,-34.621471,-58.407475,Piso 3,1054,4393-7076 Fax: 4393-7062,borrajo@oit.org.ar,www.oit.org.ar/pagina.php?seccion=120&pagina=293
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Documentación E Información,Piedras 1065,cultura,-34.620476,-58.377254,Piso 6,1114,4508-3815 Fax: 4508-3822,cdi@mail.fsoc.uba.ar,www.iigg.fsoc.uba.ar/cdi.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Av. Independencia 3065,cultura,-34.619888,-58.408737,Piso 4,1125,,biblioteca@pfortner.com,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Independencia 3065,cultura,-34.619888,-58.408737,,1086,(011) 4338-3000 Int. 4071,marcolombo@legislatura.gov.ar,www.cedom.gov.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Documentación Ing. Aldo Mennella,Independencia Av. 3065,cultura,-34.619888,-58.408737,,1437,(011) 4912-0017 / 21 • (011) 4912-6912 / 6,biblioteca@ceamse.gov.ar; aalvarez@ceamse.gov.ar; bibliotecaceamse@gmail.com,www.ceamse.gov.ar/abre-home.html
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Arq. Graciela Lerch,Calvo Carlos Av. 1370,cultura,-34.619881,-58.385372,Piso 11 Of 300,C1085ABQ,4383-9084 / 4383-1481,info@aadaih.com.ar,www.aadaih.com.ar/biblioteca
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Salta 980/2,cultura,-34.619499,-58.382961,,C1405BUB -,4901-9311 / 5488 Int. 101 Fax: (+54-11) 4903-7064,biblioteca@cao.org.ar ,
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Centro de Documentacion E Informacion,Av. Paseo Colón 982,cultura,-34.619209,-58.368488,,1053,4323-8700 Int. 6399,biblioteca@rentasgcba.gov.ar,www.agip.gov.ar/web/index.htm
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Paseo Colón 982,cultura,-34.619209,-58.368488,,C1019ABS,(011) 4811-3220 Int. 27 Fax (54.011) 4815-5804,biblioteca@ortodoncia.org.ar,www.ortodoncia.org.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca Arq. Alejandro Christophersen,Estados Unidos 943,cultura,-34.618504,-58.379322,Piso 2,C1019ABT,4812 5856/3644/3986 - Fax: 4813 6629,biblio@socearq.org,www.socearq.org
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,Dr. Juan F. Aranguren 1323,cultura,-34.617962,-58.451065,,C1414CUI,(011) 4858-9000 Int. 397,dmedica@gador.com.ar,www.gador.com.ar
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Espacios Culturales,Bibliotecas especializadas,Biblioteca,"Aranguren, Juan F. Dr. 1323",cultura,-34.617962,-58.451065,Piso 2 Of. 209,,,biblioteca@afip2.gov.ar,htp//www.afip.gov.ar
